,Week,Online demand,Oil price,Temperature,Oil price momentum (%),Oil price momentum - month (%),Temperature momentum (%),Temperature momentum - month (%),Oil price momentum + capped,Oil price momentum - capped,Temperature momentum + capped,Temperature momentum - capped,Oil price momentum month + capped,Oil price momentum month - capped,Temperature momentum month + capped,Temperature momentum month - capped,Oil price W-4,Oil price W-8,Temperature W-4,Temperature W-8,Online demand mean at same date
0,2013-10-01,145980.0,108.38,17.900000000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.38,108.38,17.900000000000034,17.900000000000034,0.0
1,2013-10-08,138785.8064516129,109.64,15.200000000000017,1.1625761210555474,0.29064403026388685,-7.124010554089743,-3.7709497206704023,1.1625761210555474,0.0,-0.0,-7.124010554089743,0.29064403026388685,0.0,-0.0,-3.7709497206704023,108.38,108.38,17.900000000000034,17.900000000000034,0.0
2,2013-10-15,131591.61290322582,111.08,13.30000000000004,1.3133892739875863,0.9134526665436571,-5.397727272727204,-10.195530726256985,1.3133892739875863,0.0,-0.0,-5.397727272727204,0.9134526665436571,0.0,-0.0,-10.195530726256985,108.38,108.38,17.900000000000034,17.900000000000034,0.0
3,2013-10-22,124397.41935483871,109.76,19.50000000000003,-1.188332733165276,1.2317770806421935,18.618618618618555,-7.9608938547486074,-0.0,-1.188332733165276,18.618618618618555,0.0,1.2317770806421935,0.0,-0.0,-7.9608938547486074,108.38,108.38,17.900000000000034,17.900000000000034,0.0
4,2013-10-29,117203.2258064516,109.41,14.400000000000034,-0.3188775510204134,1.4693670418896465,-12.911392405063271,-12.849162011173188,-0.0,-0.3188775510204134,-0.0,-12.911392405063271,1.4693670418896465,0.0,-0.0,-12.849162011173188,108.38,108.38,17.900000000000034,17.900000000000034,0.0
5,2013-11-05,109121.33333333333,106.25,10.600000000000023,-2.8882186271821597,0.39560237361424555,-11.046511627906996,-16.110304789550035,-0.0,-2.8882186271821597,-0.0,-11.046511627906996,0.39560237361424555,0.0,-0.0,-16.110304789550035,109.64,108.38,15.200000000000017,17.900000000000034,0.0
6,2013-11-12,100373.66666666667,106.4,8.250000000000028,0.14117647058824456,-1.2937734296424863,-7.679738562091476,-17.962674961119728,0.14117647058824456,0.0,-0.0,-7.679738562091476,-0.0,-1.2937734296424863,-0.0,-17.962674961119728,111.08,108.38,13.30000000000004,17.900000000000034,0.0
7,2013-11-19,91626.0,108.3,8.700000000000017,1.7857142857142794,-1.9368363487216933,1.5929203539822634,-36.342943854324695,1.7857142857142794,0.0,1.5929203539822634,0.0,-0.0,-1.9368363487216933,-0.0,-36.342943854324695,109.76,108.38,19.50000000000003,17.900000000000034,0.0
8,2013-11-26,82878.33333333333,111.08,3.900000000000034,2.566943674976918,-1.7868103389483747,-16.72473867595812,-49.59935897435891,2.566943674976918,0.0,-0.0,-16.72473867595812,-0.0,-1.7868103389483747,-0.0,-49.59935897435891,109.41,108.38,14.400000000000034,17.900000000000034,0.0
9,2013-12-03,77582.25806451614,111.53,4.900000000000006,0.4051134317609062,0.18556701030927325,4.184100418409908,-55.44982698961933,0.4051134317609062,0.0,4.184100418409908,0.0,0.18556701030927325,0.0,-0.0,-55.44982698961933,106.25,109.64,10.600000000000023,15.200000000000017,0.0
10,2013-12-10,80915.16129032258,109.31,4.400000000000034,-1.9904958307181864,1.9452549673474984,-2.008032128513937,-58.483412322274795,-0.0,-1.9904958307181864,-0.0,-2.008032128513937,1.9452549673474984,0.0,-0.0,-58.483412322274795,106.4,111.08,8.250000000000028,13.30000000000004,0.0
11,2013-12-17,84248.06451612903,109.2,6.650000000000006,-0.10063123227518345,2.5002323636025725,9.2213114754097,-52.68176400476751,-0.0,-0.10063123227518345,9.2213114754097,0.0,2.5002323636025725,0.0,-0.0,-52.68176400476751,108.3,109.76,8.700000000000017,19.50000000000003,0.0
12,2013-12-24,87580.96774193548,111.61,9.500000000000028,2.206959706959699,2.2266972201004487,10.69418386491565,-19.077901430842637,2.206959706959699,0.0,10.69418386491565,0.0,2.2266972201004487,0.0,-0.0,-19.077901430842637,111.08,109.41,3.900000000000034,14.400000000000034,0.0
13,2013-12-31,90913.87096774194,111.18,4.650000000000034,-0.3852701370844813,0.9123962406530906,-16.440677966101656,-2.1359223300970176,-0.0,-0.3852701370844813,-0.0,-16.440677966101656,0.9123962406530906,0.0,-0.0,-2.1359223300970176,111.53,106.25,4.900000000000006,10.600000000000023,0.0
14,2014-01-07,87751.29032258065,107.03,9.550000000000011,-3.7326857348443987,-0.27259097723866255,19.878296146044505,38.584474885844536,-0.0,-3.7326857348443987,19.878296146044505,0.0,-0.0,-0.27259097723866255,38.584474885844536,0.0,109.31,106.4,4.400000000000034,8.250000000000028,0.0
15,2014-01-14,83506.12903225806,106.62,5.400000000000034,-0.38307016724282716,-1.0609357997823587,-14.043993231810404,46.59949622166242,-0.0,-0.38307016724282716,-0.0,-14.043993231810404,-0.0,-1.0609357997823587,46.59949622166242,0.0,109.2,108.3,6.650000000000006,8.700000000000017,0.0
16,2014-01-21,79260.96774193548,106.35,7.000000000000028,-0.2532357906584237,-2.3706554964338267,6.2992125984251635,4.5186640471513995,-0.0,-0.2532357906584237,6.2992125984251635,0.0,-0.0,-2.3706554964338267,4.5186640471513995,0.0,111.61,111.08,9.500000000000028,3.900000000000034,0.0
17,2014-01-28,75015.80645161291,106.86,3.900000000000034,0.4795486600846388,-3.272150464536594,-11.481481481481449,2.5793650793650924,0.4795486600846388,0.0,-0.0,-11.481481481481449,-0.0,-3.272150464536594,2.5793650793650924,0.0,111.18,111.53,4.650000000000034,4.900000000000006,0.0
18,2014-02-04,74670.71428571429,105.85,5.9500000000000455,-0.9451618940670037,-3.038585941414973,8.577405857740628,-26.688632619439588,-0.0,-0.9451618940670037,8.577405857740628,0.0,-0.0,-3.038585941414973,-0.0,-26.688632619439588,107.03,109.31,9.550000000000011,4.400000000000034,0.0
19,2014-02-11,79525.71428571429,108.52,5.850000000000023,2.5224374114312775,-2.0300614059206468,-0.3853564547207089,-21.993127147766167,2.5224374114312775,0.0,-0.0,-0.3853564547207089,-0.0,-2.0300614059206468,-0.0,-21.993127147766167,106.62,109.2,5.400000000000034,6.650000000000006,0.0
20,2014-02-18,84380.71428571429,109.07,8.200000000000017,0.506819019535576,-0.2040910988450384,9.090909090909062,-10.150375939849543,0.506819019535576,0.0,9.090909090909062,0.0,-0.0,-0.2040910988450384,-0.0,-10.150375939849543,106.35,111.61,7.000000000000028,9.500000000000028,0.0
21,2014-02-25,89235.71428571429,110.64,7.550000000000011,1.439442559823978,1.691421074825472,-2.304964539007115,6.576402321083097,1.439442559823978,0.0,-0.0,-2.304964539007115,1.691421074825472,0.0,6.576402321083097,0.0,106.86,111.18,3.900000000000034,4.650000000000034,0.0
22,2014-03-04,89667.09677419355,111.16,6.80000000000004,0.4699927693420092,3.2207291862431875,-2.722323049001707,27.64044943820183,0.4699927693420092,0.0,-0.0,-2.722323049001707,3.2207291862431875,0.0,27.64044943820183,0.0,105.85,107.03,5.9500000000000455,9.550000000000011,0.0
23,2014-03-11,84200.32258064517,107.88,8.55000000000004,-2.9507016912558526,2.612376631273694,6.5298507462686395,37.0044052863433,-0.0,-2.9507016912558526,6.5298507462686395,0.0,2.612376631273694,0.0,37.0044052863433,0.0,108.52,106.62,5.850000000000023,5.400000000000034,0.0
24,2014-03-18,78733.54838709677,106.4,11.400000000000006,-1.3718946978123703,1.3432488961190092,9.982486865148733,43.51464435146413,-0.0,-1.3718946978123703,9.982486865148733,0.0,1.3432488961190092,0.0,43.51464435146413,0.0,109.07,106.35,8.200000000000017,7.000000000000028,0.0
25,2014-03-25,73266.7741935484,106.59,6.850000000000023,0.17857142857142794,-0.4722631772945074,-14.490445859872558,21.960072595281275,0.17857142857142794,0.0,-0.0,-14.490445859872558,-0.0,-0.4722631772945074,21.960072595281275,0.0,110.64,106.86,7.550000000000011,3.900000000000034,0.0
26,2014-04-01,67800.0,107.66,13.250000000000028,1.003846514682416,-2.4716083661439736,23.836126629422715,41.02112676056326,1.003846514682416,0.0,23.836126629422715,0.0,-0.0,-2.4716083661439736,41.02112676056326,0.0,111.16,105.85,6.80000000000004,5.9500000000000455,0.0
27,2014-04-08,66918.0,105.97,13.950000000000017,-1.5697566412780972,-2.7646723646723603,2.105263157894699,46.141479099678186,-0.0,-1.5697566412780972,2.105263157894699,0.0,-0.0,-2.7646723646723603,46.141479099678186,0.0,107.88,108.52,8.55000000000004,5.850000000000023,0.0
28,2014-04-15,66036.0,108.92,14.150000000000006,2.7838067377559783,-1.591451109888109,0.5891016200294308,40.52478134110768,2.7838067377559783,0.0,0.5891016200294308,0.0,-0.0,-1.591451109888109,40.52478134110768,0.0,106.4,109.07,11.400000000000006,8.200000000000017,0.0
29,2014-04-22,65154.0,109.94,13.25,0.9364671318398798,0.10647408744763887,-2.6354319180088015,62.49999999999962,0.9364671318398798,0.0,-0.0,-2.6354319180088015,0.10647408744763887,0.0,62.49999999999962,0.0,106.59,110.64,6.850000000000023,7.550000000000011,0.0
